Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1784761189,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1784761190,5,,Aggregated,0.000000,0.000000,130,130,140,140,140,140,140,140,140,140,140,4,0,120.0,127.81034999352414,110.35830003675073,144.30990000255406,1154.0
1784761191,10,,Aggregated,0.000000,0.000000,130,140,400,410,420,420,420,420,420,420,420,10,0,120.0,197.92009000084363,48.60659997211769,423.31370001193136,870.5
1784761192,10,,Aggregated,4.000000,0.000000,140,330,400,410,420,2900,2900,2900,2900,2900,2900,13,0,140.0,417.40008461504027,48.60659997211769,2858.4789999877103,1315.6923076923076
1784761193,10,,Aggregated,4.500000,0.000000,140,260,400,400,420,2900,2900,2900,2900,2900,2900,16,0,130.0,352.4068687511317,16.947800002526492,2858.4789999877103,2138.75
1784761194,10,,Aggregated,3.666667,0.000000,140,330,420,2100,3200,3200,3300,3300,3300,3300,3300,28,0,130.0,747.2679928531371,12.355299957562238,3291.304600017611,3358.8571428571427
1784761195,10,,Aggregated,3.500000,0.000000,110,200,410,420,3200,3200,3300,3300,3300,3300,3300,36,0,100.0,665.9820305536009,12.355299957562238,3291.304600017611,3615.4444444444443
1784761196,10,,Aggregated,4.200000,0.000000,50,140,330,410,2900,3200,3300,3300,3300,3300,3300,42,0,49,574.0054166651264,12.355299957562238,3291.304600017611,3741.1666666666665
1784761197,10,,Aggregated,5.000000,0.000000,40,120,200,330,2900,3200,3200,3300,3300,3300,3300,52,0,35,471.38814999869703,12.355299957562238,3291.304600017611,4004.8846153846152
1784761198,10,,Aggregated,5.428571,0.000000,35,100,190,250,2100,3200,3200,3300,3300,3300,3300,63,0,35,400.14953650848287,12.355299957562238,3291.304600017611,3903.714285714286
1784761199,10,,Aggregated,6.125000,0.000000,33,49,140,200,420,3200,3200,3300,3300,3300,3300,72,0,33,352.80589166682654,12.355299957562238,3291.304600017611,4223.736111111111
1784761200,10,,Aggregated,6.333333,0.000000,33,45,130,200,420,3200,3200,3300,3300,3300,3300,80,0,33,322.9652612513746,12.355299957562238,3291.304600017611,4160.9625
1784761201,10,,Aggregated,6.600000,0.000000,33,41,110,190,410,2900,3200,3300,3300,3300,3300,90,0,33,292.7588866680809,12.355299957562238,3291.304600017611,3953.6666666666665
1784761202,10,,Aggregated,7.200000,0.000000,33,41,110,190,400,2900,3200,3300,3300,3300,3300,99,0,33,273.1048797993366,12.355299957562238,3291.304600017611,3886.939393939394
1784761203,10,,Aggregated,7.500000,0.000000,33,39,87,150,330,2900,3200,3200,3300,3300,3300,109,0,33,252.48705963401227,12.355299957562238,3291.304600017611,3744.880733944954
1784761204,10,,Aggregated,8.300000,0.000000,33,39,54,140,280,2900,3200,3200,3300,3300,3300,117,0,33,239.07996153978345,12.355299957562238,3291.304600017611,3734.7008547008545
